Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Indiana

,,National or state crime,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1984,   5498000,      16781,         303,       1372,,       5435,       9671,     199258,      51019,     128941,      19298,         305.2,           5.5,          25.0,,          98.9,         175.9,       3624.2,         928.0,       2345.2,         351.0 
1985,   5499000,      17014,         319,       1318,,       5065,      10312,     198220,      50295,     129861,      18064,         309.4,           5.8,          24.0,,          92.1,         187.5,       3604.7,         914.6,       2361.5,         328.5 
1986,   5504000,      16937,         329,       1424,,       4954,      10230,     195233,      48802,     128404,      18027,         307.7,           6.0,          25.9,,          90.0,         185.9,       3547.1,         886.7,       2332.9,         327.5 
1987,   5531000,      18169,         307,       1609,,       4901,      11352,     209695,      52363,     137722,      19610,         328.5,           5.6,          29.1,,          88.6,         205.2,       3791.3,         946.7,       2490.0,         354.5 
1988,   5575000,      21187,         358,       1731,,       4963,      14135,     210177,      52137,     138335,      19705,         380.0,           6.4,          31.0,,          89.0,         253.5,       3770.0,         935.2,       2481.3,         353.5 
1989,   5593000,      22735,         353,       1804,,       5671,      14907,     225592,      54201,     149514,      21877,         406.5,           6.3,          32.3,,         101.4,         266.5,       4033.5,         969.1,       2673.2,         391.1 
1990,   5544159,      26275,         344,       2103,,       5619,      18209,     233376,      52297,     156741,      24338,         473.9,           6.2,          37.9,,         101.3,         328.4,       4209.4,         943.3,       2827.1,         439.0 
1991,   5610000,      28349,         423,       2318,,       6506,      19102,     241930,      54814,     161039,      26077,         505.3,           7.5,          41.3,,         116.0,         340.5,       4312.5,         977.1,       2870.6,         464.8 
1992,   5662000,      28791,         464,       2398,,       6921,      19008,     236584,      53907,     157181,      25496,         508.5,           8.2,          42.4,,         122.2,         335.7,       4178.5,         952.1,       2776.1,         450.3 
1993,   5713000,      27941,         430,       2234,,       6845,      18432,     227149,      48677,     154016,      24456,         489.1,           7.5,          39.1,,         119.8,         322.6,       3976.0,         852.0,       2695.9,         428.1 
1994,   5752000,      30205,         453,       2046,,       7490,      20216,     233975,      48921,     160043,      25011,         525.1,           7.9,          35.6,,         130.2,         351.5,       4067.7,         850.5,       2782.4,         434.8 
1995,   5803000,      30451,         466,       1930,,       7844,      20211,     238317,      47676,     163618,      27023,         524.7,           8.0,          33.3,,         135.2,         348.3,       4106.8,         821.6,       2819.5,         465.7 
1996,   5841000,      31366,         420,       1992,,       7249,      21705,     231376,      45782,     160777,      24817,         537.0,           7.2,          34.1,,         124.1,         371.6,       3961.2,         783.8,       2752.6,         424.9 
1997,   5864000,      30179,         430,       1928,,       7763,      20058,     231723,      48182,     158442,      25099,         514.6,           7.3,          32.9,,         132.4,         342.1,       3951.6,         821.7,       2701.9,         428.0 
1998,   5899000,      25423,         454,       1952,,       6561,      16456,     220529,      46552,     152790,      21187,         431.0,           7.7,          33.1,,         111.2,         279.0,       3738.4,         789.2,       2590.1,         359.2 
1999,   5942901,      22261,         391,       1607,,       6496,      13767,     201547,      42463,     138794,      20290,         374.6,           6.6,          27.0,,         109.3,         231.7,       3391.4,         714.5,       2335.5,         341.4 
2000,   6080485,      21230,         352,       1759,,       6282,      12837,     206905,      41108,     144707,      21090,         349.1,           5.8,          28.9,,         103.3,         211.1,       3402.8,         676.1,       2379.9,         346.8 
2001,   6126743,      22734,         413,       1716,,       7171,      13434,     211548,      42758,     147291,      21499,         371.1,           6.7,          28.0,,         117.0,         219.3,       3452.9,         697.9,       2404.1,         350.9 
2002,   6156913,      22001,         362,       1843,,       6612,      13184,     208965,      42605,     146073,      20287,         357.3,           5.9,          29.9,,         107.4,         214.1,       3394.0,         692.0,       2372.5,         329.5 
